accession	source_database	name	taxId	scientificName	length	entry_accession	entry_protein_locations
A0A010QFG2	unreviewed	Probable endonuclease LCL3	1445577	Colletotrichum fioriniae PJ7	285	PF00565	133..242	
A0A010RST0	unreviewed	Probable endonuclease LCL3	1445577	Colletotrichum fioriniae PJ7	886	PF00565	32..141,198..306,344..454,512..616	
A0A015L721	unreviewed	Staphylococcal nuclease domain-containing protein 1	1432141	Rhizophagus irregularis (strain DAOM 197198w)	780	PF00565	105..213,253..361,421..525,674..770	
A0A015N8H0	unreviewed	Transcription factor	1432141	Rhizophagus irregularis (strain DAOM 197198w)	879	PF00565	34..146,206..314,354..462,522..626,773..869	
A0A016SUH5	unreviewed	Staphylococcal nuclease domain-containing protein	53326	Ancylostoma ceylanicum	909	PF00565	52..165,220..324,365..486,547..661,809..900	
A0A017S3D3	unreviewed	Probable endonuclease LCL3	1388766	Aspergillus ruber (strain CBS 135680)	307	PF00565	147..263	
A0A017SN88	unreviewed	Probable endonuclease LCL3	1388766	Aspergillus ruber (strain CBS 135680)	887	PF00565	199..307,345..455,513..618,831..880	
A0A022PWA9	unreviewed	TNase-like domain-containing protein	4155	Erythranthe guttata	333	PF00565	221..315	
A0A022Q9C8	unreviewed	Ribonuclease	4155	Erythranthe guttata	989	PF00565	40..148,270..363,410..551,612..710,862..966	
A0A022W1T7	unreviewed	Probable endonuclease LCL3	1215330	Trichophyton rubrum CBS 288.86	883	PF00565	32..143,200..307,346..456,514..618,783..876	
A0A022W9C1	unreviewed	Probable endonuclease LCL3	1215330	Trichophyton rubrum CBS 288.86	283	PF00565	143..255	
A0A022XS06	unreviewed	Probable endonuclease LCL3	1215331	Trichophyton soudanense CBS 452.61	883	PF00565	32..143,200..307,346..456,514..618,783..876	
A0A022Y0A9	unreviewed	Probable endonuclease LCL3	1215331	Trichophyton soudanense CBS 452.61	283	PF00565	143..255	
A0A023BD88	unreviewed	Nuclease domain protein	110365	Gregarina niphandrodes	784	PF00565	463..592	
A0A023EQT0	unreviewed	Staphylococcal nuclease domain-containing protein 1	7160	Aedes albopictus	324	PF00565	25..136	
