id,dim0,dim1,dim2,dim3
N476,1.5663079,2.7726324,-0.26568025,2.9292386
N824,-1.403413,2.2300375,-1.1897765,-1.6673352
N181,-2.049635,0.6503595,-2.6566234,0.55325097
N267,-2.2513773,2.311337,-0.92785877,0.67194915
N920,-3.7661219,2.3075414,1.858486,3.341257
N932,-2.603006,0.7877413,-0.025566194,-0.5687625
N201,-1.9036299,1.3257681,-0.3296016,-0.63973886
N864,1.4815596,2.7900772,-0.073853016,2.7612252
N747,-4.479107,0.30250487,-3.1799927,3.830109
N833,-4.688172,0.22242947,-3.4330397,3.9910307
N1023,-4.2714953,0.2521951,-3.2459314,3.6647663
N807,-3.991999,1.9137769,-4.011645,4.806104
N837,1.2915189,2.3783753,1.9249504,1.2957529
N51,-3.210229,0.7419913,-2.7852426,1.5285158
N460,-3.243993,0.68666357,-2.8505805,1.5793928
N638,-1.3282428,2.0915327,-0.9333521,-1.5636202
N365,-2.3041852,1.0824088,-0.21689305,0.32263312
N682,-2.9907646,2.4781497,-0.31751442,-0.8486471
N1147,3.4643128,3.9451337,-3.6599452,1.5028054
N841,1.4464713,2.4547677,2.184444,1.2826034
N806,1.4628515,2.545435,2.2158551,1.2943383
N149,-3.295979,-1.0989139,1.3400385,0.6343853
N92,-0.2906446,0.5804401,0.30292985,-2.6877632
N786,2.6804368,-2.2540348,-1.7875632,5.105749
N826,0.2783256,2.059842,1.2677817,-1.6028122
N1109,-0.51347077,1.0428025,-1.2039055,1.7483164
N294,1.3939866,0.10669512,-2.141851,-2.6467025
N428,-1.310305,0.2876262,0.7624497,0.12438525
N1078,2.9529538,-0.13442996,-2.297514,-0.4640358
N392,0.8457671,-0.17906316,-2.1246893,-2.257514
N530,-1.5818943,-0.19063565,1.081202,-0.5848923
N1116,0.74421203,2.9477704,-1.1187754,1.3860573
N82,-2.6409488,1.0612212,0.7272208,1.5113081
N436,-3.3106241,-1.6663966,-0.19846246,1.1098335
N329,-2.8907905,0.115228295,-0.3238369,0.27996987
N900,-1.9082376,-0.7877737,0.5408121,1.3360184
N978,0.3401676,-1.65769,-0.77696484,-0.96987754
N746,-3.2876186,-1.998919,3.398938,3.1263597
N773,-2.3263338,2.004175,-0.039946206,0.825544
N220,-2.194517,1.7014207,-0.74379,0.5673421
N231,-2.65363,1.4556384,0.86407065,1.511535
N456,-1.7447135,0.47878343,1.7168958,-0.03147839
N675,-4.128734,2.518509,1.6410806,3.8203876
N982,-4.030147,2.1301143,1.7979224,3.6940956
N441,-1.9235846,0.84997064,0.27096435,0.58840305
N781,-3.7906344,2.2097764,1.6012752,3.4462402
N402,-3.7503867,-1.3072507,3.4062963,2.726153
N244,-5.006615,-0.9075312,4.82261,2.8020728
N753,-4.254222,-1.1449578,4.01055,2.30467
N642,-2.3485878,0.013807986,-0.09554845,0.55399054
N916,-2.2766721,2.2339125,-0.8576453,0.88391775
N901,-3.3008103,-1.2900058,1.4108167,1.8168894
N709,-2.7404115,1.0833063,0.3142057,0.27678415
N1007,-3.6222324,-1.3674066,1.9392916,1.9882387
N983,-2.580579,0.7532275,-0.10469173,-0.46354184
N346,-3.1983483,1.1987019,0.265519,0.47223535
N617,-3.2366812,1.2283638,0.24058941,0.51287603
N507,-2.4141202,-0.5619305,-1.0858687,0.67339844
N1235,-2.543605,-0.6182178,-1.0362463,0.84043247
N925,-3.562476,2.0941854,1.7624369,3.4754047
N1004,-3.0165036,1.5546201,1.2374115,2.1766038
N679,-3.9954581,2.3732753,1.5658699,3.4710488
N856,-1.319615,1.6838218,-1.2852583,-1.187228
N1123,-2.1313705,-0.59444314,-0.8929822,0.6652656
N1127,-2.4336967,-0.5504897,-1.0582465,0.6861856
N1186,-2.7735677,1.509218,-0.4209341,-0.5645476
N1087,-4.551108,5.090919,0.5621011,-0.24268927
N1178,-4.5677924,4.9376416,0.5656207,-0.26586643
N836,-4.2507553,4.769125,0.5560459,-0.23011865
N919,-3.9242718,4.306287,0.6526152,-0.2870897
N910,-3.5702484,3.8618217,0.41496447,-0.31070408
N247,-4.086291,4.7654357,0.47631216,-0.29383942
N1068,-5.5829473,3.5270543,2.5647721,0.9177314
N407,-5.5654697,3.5605626,2.6490808,1.005909
N523,-5.585679,3.5629745,2.6176178,0.9533164
N237,-1.8651454,1.2910855,-0.081180975,0.09635083
N1242,-5.1169868,3.1028855,2.1919801,0.7939151
N724,-5.5031877,3.5199606,2.552484,0.9706339
N351,-5.0704565,3.1767392,2.413466,0.84990376
N387,-5.287446,3.3288279,2.4457834,0.8913639
N340,1.5700897,0.025464451,-0.11857697,2.9646783
N308,1.4894,0.25948572,0.018828824,3.162196
N395,-2.733539,1.400993,0.7422213,-0.5751535
N727,-2.5764723,1.2054597,0.2803603,0.0430414
N160,-4.556515,5.0472054,0.5663555,-0.28565428
N362,-1.9456699,1.3519571,-0.06434761,0.324979
N869,-0.36127868,-0.4947346,-0.6018153,-0.7127881
N370,-2.9331279,1.1830655,0.645333,-0.67188233
N1187,-3.6872962,1.0814546,-0.4900871,0.008277379
N812,1.064512,1.027854,1.7219241,2.454851
N1200,0.36768764,1.5300573,1.547817,2.1785445
N496,0.30801174,1.5901134,1.6129384,2.2623043
N720,-3.6599767,0.010652281,-3.6272674,1.2305148
N1230,-4.6356125,-0.24452414,-4.5957403,1.6239297
N215,-4.6576734,-0.26595238,-4.6131806,1.6146536
N945,-3.995826,-0.103351414,-4.2432375,1.2292991
N386,-2.7406547,1.0754628,0.23976925,-0.3737399
N678,0.6597205,1.4103469,1.6403694,1.9376777
N9,-2.91417,0.91950107,0.16338597,-0.42524135
N234,-2.9144704,1.1125703,-0.049835443,0.23325148
N42,-2.839814,1.0678664,-0.08321134,0.15975009
N1141,-1.9734124,0.9805008,-0.37617376,-0.47018278
N780,-2.24042,0.7294025,-1.869914,-1.8107827
N814,-3.7619922,1.0563864,-0.38367784,-0.050310127
N1204,-3.7454848,1.1349099,-0.42845124,0.008436741
N1089,-3.143773,1.2235571,0.24435237,0.4294598
N822,0.73187345,1.432207,1.3954225,1.7901669
N34,-2.3711574,1.2263963,-0.6927494,-0.007455157
N968,-0.062287733,0.4345789,-0.64494836,-0.41086996
N1211,-1.4079379,0.254435,0.75974387,0.01193599
N275,-1.5003151,1.4982015,0.16111214,-0.22227147
N1210,-1.9185342,1.3874538,0.04223447,-0.36410463
N13,-3.2238195,-1.4832015,2.300277,2.39403
N897,-1.9200641,0.77715003,-0.2669911,-0.045864083
N1234,-2.2412143,0.7136223,0.25068036,-0.2401649
N1183,-2.0378845,1.2202834,-0.22069661,-0.18969354
N184,-2.0516436,1.2518252,-0.17551443,-0.19770935
N964,-2.8795004,1.3139889,0.7655858,-0.46481648
N67,3.09687,-3.5739257,-1.4647472,5.4474645
N878,3.1671667,-3.5599496,-1.7839032,5.566621
N571,3.257401,-3.6205187,-1.774937,5.6437616
N820,3.1631336,-3.57944,-1.8172637,5.483433
N416,3.288142,-3.4606836,-1.7295996,5.551628
N750,3.224499,-3.5552387,-1.7917181,5.630813
N438,0.8238978,-0.2086099,-2.2073145,-2.0592158
N194,0.6277972,6.9173913,-0.6833518,2.4386773
N704,0.63127714,6.9613833,-0.5799965,2.378986
N420,0.7306068,7.1892233,-0.6270575,2.486185
N425,0.77989936,6.6751747,-0.57810545,2.3353994
N90,0.7418848,6.2688046,-0.67574817,2.2532682
N10,0.49267855,2.354647,-1.385565,2.0136008
N176,1.5469189,-0.34415832,-2.045938,-2.1143522
N875,0.7881431,3.052559,-1.2789811,1.5550346
N573,-0.31395096,-0.44253373,-0.25187588,-0.014957062
N1060,0.27029794,0.24934684,-0.98286843,-0.6995914
N122,0.1999003,0.04147141,-1.0703596,-0.7156579
N1047,-3.856971,1.9479389,-0.6094769,-2.966
N359,-2.7029824,1.6020085,-2.2450333,-1.0051388
N848,-5.912882,1.0403478,-0.52050155,-4.1798015
N405,-3.2630894,0.935164,-1.7916797,-1.7756995
N1239,-1.9167646,0.75412536,-3.2306225,-1.7336
N1216,-3.3895316,0.92457396,-1.7513553,-1.9494656
N1172,-5.61058,1.0831444,-0.31753787,-3.8454735
N899,-2.813742,1.2190561,-2.2466948,-1.240566
N620,-2.7353985,0.93162894,-2.1645849,-1.4395187
N692,-5.899378,0.9223594,-0.41064623,-4.217427
N6,-6.1891336,1.0213621,-0.42509454,-4.164211
N725,-5.8319306,1.0324254,-0.18363917,-4.3503194
N355,-6.155756,1.1259965,-0.1767244,-4.253991
N1027,-4.174175,1.286544,-0.95129097,-3.015143
N303,-4.7473226,3.2029996,-0.35475674,-4.352116
N1070,-4.8206224,3.2487116,-0.36901787,-4.434644
N844,-4.7061276,3.105678,-0.33272755,-4.392144
N66,-5.206785,2.7266228,-1.5151273,-3.2361667
N32,-5.299659,2.7167008,-1.5303113,-3.3006322
